Not After,OCN,Org Name,Cert
"15 Jan 24 14:47 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/edc78f36b439a3b276e401bfd80ba669.pem"
"20 Sep 24 15:42 UTC","208K","TransNexus, Inc.","https://certificates.clearip.com/000b56ea-b4c8-46f2-89e0-ac03650b1b97/ee01e9c7a9976746157e0afbf1c0b919.pem"
"11 Sep 23 15:27 UTC","155F","TransNexus, Inc.","https://certificates.clearip.com/037240bc-315a-4975-b8f0-2a4ec2b5a0aa/6a6d0651d69f9b2c93c5b81def26646c.pem"
"30 Sep 24 18:08 UTC","155F","TransNexus, Inc.","https://certificates.clearip.com/037240bc-315a-4975-b8f0-2a4ec2b5a0aa/8f4b71cc40c78ad877f96ae9b2c6fb23.pem"
"29 Oct 23 15:32 UTC","155F","TransNexus, Inc.","https://certificates.clearip.com/037240bc-315a-4975-b8f0-2a4ec2b5a0aa/de354eedd093cb7b12469988ab77c3cb.pem"
"24 Sep 24 18:08 UTC","155F","TransNexus, Inc.","https://certificates.clearip.com/037240bc-315a-4975-b8f0-2a4ec2b5a0aa/f2c1125e05764f414d1bcac554b67538.pem"
"03 Aug 24 14:23 UTC","912K","TransNexus, Inc.","https://certificates.clearip.com/0449db64-4795-4735-b359-8dec139b2913/2642814b1917ed85c262a54b139a7c9d.pem"
"10 Jun 24 14:18 UTC","912K","TransNexus, Inc.","https://certificates.clearip.com/0449db64-4795-4735-b359-8dec139b2913/2c0ccc6f7c28d4b31c6fdc2e1dab3777.pem"
"02 Sep 24 14:25 UTC","912K","TransNexus, Inc.","https://certificates.clearip.com/0449db64-4795-4735-b359-8dec139b2913/515aa66582d9459832af21ce3da3c66e.pem"
"11 Sep 24 14:26 UTC","912K","TransNexus, Inc.","https://certificates.clearip.com/0449db64-4795-4735-b359-8dec139b2913/7d72cc8fb915f704bace0e9b343bd64c.pem"
"10 Jul 24 14:21 UTC","912K","TransNexus, Inc.","https://certificates.clearip.com/0449db64-4795-4735-b359-8dec139b2913/9fe9111682ba8d9d296a84b1b81122d2.pem"
"22 Jul 24 14:22 UTC","912K","TransNexus, Inc.","https://certificates.clearip.com/0449db64-4795-4735-b359-8dec139b2913/aa01611e18c4e2a81099c65fd105cbdf.pem"
