OCN,Org Name,CN,Cert
"782K","SIMPLEVOIP LLC","SHAKEN 782K","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/301.642"
"791K","925 Telecom LLC","SHAKEN 791K","https://ssc.getsipnav.com/certs/abf66d22339de1cea2f7c85b7e66c4ab1206c5ad"
"804J","QuestBlue Systems Inc","SHAKEN 804J","https://customer.questblue.com/assets/questblue_shaken.cer"
"8052","Granite Telecommunications LLC","SHAKEN 8052","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11282.10436.pem"
"811J","Alianza","prod SHAKEN 811J","https://api.alianza.com/v2/stir-shaken/certs/b45a4083-1554-4412-b5fc-bbd2c027091e/key.crt"
"819J","Crexendo Business Solutions","SHAKEN 819J","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/146.614"
"821J","Bluerock Communications LLC","SHAKEN 821J","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11535.10907.pem"
"845J","Dialect LLC","SHAKEN 845J","https://app.batchdialer.com/shakenv2.crt"
"8468","FirstLight Fiber Inc","SHAKEN 8468","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11272.10940.pem"
"854J","S-NET Communications Inc","SHAKEN 854J","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11541.10421.pem"
"863J","Contact Center Specialists LLC","SHAKEN 863J","https://ssc.getsipnav.com/certs/68420390b1e14ecc52d1930ae16ae6935449956c"
"871J","Third Base International Telecom LLC","SHAKEN 871J","https://ssc.getsipnav.com/certs/0a8c103b1a8ad924229f7602a8149b7708c8fa6c"
"8833","Logix Fiber Networks","SHAKEN 8833","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11159.10889.pem"
"886G","Ringcentral","SHAKEN 886G","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11155.10893.pem"
"899J","Telco Connection","SHAKEN 899J","https://ssc.getsipnav.com/certs/ade2fd2f0878ca60bb3d4c36501875adde925945"
"939H","Commio","SHAKEN 939H","https://storage.googleapis.com/stirshaken/939h6112024.pem"
"951J","Zultys, Inc","SHAKEN 951J","https://zultys-pem-cert-2022.s3.amazonaws.com/b0e8d800221ea37e21e5a76775c1661e.pem"
"9555","Hypercube Networks LLC","SHAKEN 9555","https://46labsconvo.peeredge.com/cert/9lF0pGoJ.pem"
"955G","LIBERTY CABLEVISION OF PUERTO RICO LLC","SHAKEN 955G","https://prod001-prod011-cr.rbbnidhub.com/MudcHJqGRz/Libertyjune2025"
"962J","Versatel LLC","SHAKEN 962J","https://eco.peeredge.com/cert/epqK2O2z.pem"
"973J","Vibratel LLC","SHAKEN 973J","https://ssc.getsipnav.com/certs/a2c9227e31132af2fc23ea1fde8e8371790c4655"
"997E","Bandwidth.com CLEC LLC","SHAKEN 997E","https://bw-shaken-cert-pub.s3.us-east-1.amazonaws.com/997E_20260327.pem"
